movie_id,dose_condition,electrons_per_pixel_per_frame,replicate,random_seed,specimen_seed,trajectory_seed,noise_seed,number_of_frames,pixel_size,input_motion_px,alignment_rmse_px,maximum_error_px,sharpness_before,sharpness_after,sharpness_gain_percent,alignment_success,failure_definition,figure_panel,source_file,software_version,git_commit
dose_0.25_rep4,dose_0.25,0.25,4,104,8,4,104,24,18.0 A/px,26.0,362.29700158971553,621.5122147431532,0.0671536773443222,0.04024519771337509,-40.07000166644218,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.25_rep5,dose_0.25,0.25,5,105,9,5,105,24,18.0 A/px,26.0,417.097656964795,664.4621401782407,0.06740452349185944,0.03853171318769455,-42.835122642253985,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.06_rep0,dose_0.06,0.06,0,100,4,0,100,24,18.0 A/px,26.0,413.74495197389365,680.8162827080561,0.2815507650375366,0.1530403196811676,-45.64379192478339,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.06_rep1,dose_0.06,0.06,1,101,5,1,101,24,18.0 A/px,26.0,382.8079561971077,616.0884346500402,0.2806943953037262,0.16311530768871307,-41.88864814624685,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.06_rep2,dose_0.06,0.06,2,102,6,2,102,24,18.0 A/px,26.0,382.9300782825137,632.915793910978,0.27983975410461426,0.16340357065200806,-41.60816386691011,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.06_rep3,dose_0.06,0.06,3,103,7,3,103,24,18.0 A/px,26.0,398.92374944384864,624.4998771056837,0.27959945797920227,0.16242238879203796,-41.9089042711522,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.06_rep4,dose_0.06,0.06,4,104,8,4,104,24,18.0 A/px,26.0,425.47507505059946,681.9990332528648,0.2777220904827118,0.15271855890750885,-45.010294772710715,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.06_rep5,dose_0.06,0.06,5,105,9,5,105,24,18.0 A/px,26.0,412.7005580284342,662.0229341178084,0.27882885932922363,0.15569952130317688,-44.15946696559963,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.015_rep0,dose_0.015,0.015,0,100,4,0,100,24,18.0 A/px,26.0,398.04497102541524,644.7948144500048,1.1231961250305176,0.6461035013198853,-42.47634167164435,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.015_rep1,dose_0.015,0.015,1,101,5,1,101,24,18.0 A/px,26.0,413.10584521256146,693.9840693008407,1.1228961944580078,0.6136606931686401,-45.35018497726428,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.015_rep2,dose_0.015,0.015,2,102,6,2,102,24,18.0 A/px,26.0,394.54223374946747,714.2687820213145,1.1173827648162842,0.6329355239868164,-43.35553188070864,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.015_rep3,dose_0.015,0.015,3,103,7,3,103,24,18.0 A/px,26.0,444.4070055720216,691.6672169335033,1.1140549182891846,0.5735666751861572,-48.5154038844904,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.015_rep4,dose_0.015,0.015,4,104,8,4,104,24,18.0 A/px,26.0,414.73924214354986,634.6865040938454,1.1117701530456543,0.6167483329772949,-44.525554019620415,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_0.015_rep5,dose_0.015,0.015,5,105,9,5,105,24,18.0 A/px,26.0,411.31244185151587,653.3034715930348,1.115688443183899,0.6411612629890442,-42.532230489066606,False,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
